"","X","city","season","status","status.test","concentration","species","region","city_new","BM","pop"
"1",120,"N-BD","spring","3.post-predicted","Predicted_PM25_real",49.347267,"PM25","N","N-BD-pre","19.17","1143.27"
"2",121,"N-BD","spring","3.post-predicted","Predicted_PM25_real",46.817677,"PM25","N","N-BD-pre","19.17","1143.27"
"3",122,"N-BD","spring","3.post-predicted","Predicted_PM25_real",31.789879,"PM25","N","N-BD-pre","19.17","1143.27"
"4",123,"N-BD","spring","3.post-predicted","Predicted_PM25_real",54.246582,"PM25","N","N-BD-pre","19.17","1143.27"
"5",124,"N-BD","spring","3.post-predicted","Predicted_PM25_real",55.875217,"PM25","N","N-BD-pre","19.17","1143.27"
"6",125,"N-BD","spring","3.post-predicted","Predicted_PM25_real",47.638,"PM25","N","N-BD-pre","19.17","1143.27"
"7",126,"N-BD","spring","3.post-predicted","Predicted_PM25_real",33.120934,"PM25","N","N-BD-pre","19.17","1143.27"
"8",127,"N-BD","spring","3.post-predicted","Predicted_PM25_real",37.320778,"PM25","N","N-BD-pre","19.17","1143.27"
"9",128,"N-BD","spring","3.post-predicted","Predicted_PM25_real",59.513626,"PM25","N","N-BD-pre","19.17","1143.27"
"10",129,"N-BD","spring","3.post-predicted","Predicted_PM25_real",39.988613,"PM25","N","N-BD-pre","19.17","1143.27"
"11",130,"N-BD","spring","3.post-predicted","Predicted_PM25_real",42.007435,"PM25","N","N-BD-pre","19.17","1143.27"
"12",131,"N-BD","spring","3.post-predicted","Predicted_PM25_real",44.637596,"PM25","N","N-BD-pre","19.17","1143.27"
"13",132,"N-BD","spring","3.post-predicted","Predicted_PM25_real",53.85093,"PM25","N","N-BD-pre","19.17","1143.27"
"14",133,"N-BD","spring","3.post-predicted","Predicted_PM25_real",46.048943,"PM25","N","N-BD-pre","19.17","1143.27"
"15",134,"N-BD","spring","3.post-predicted","Predicted_PM25_real",53.054337,"PM25","N","N-BD-pre","19.17","1143.27"
"16",135,"N-BD","spring","3.post-predicted","Predicted_PM25_real",65.99628,"PM25","N","N-BD-pre","19.17","1143.27"
"17",136,"N-BD","spring","3.post-predicted","Predicted_PM25_real",52.285873,"PM25","N","N-BD-pre","19.17","1143.27"
"18",137,"N-BD","spring","3.post-predicted","Predicted_PM25_real",28.329573,"PM25","N","N-BD-pre","19.17","1143.27"
"19",138,"N-BD","spring","3.post-predicted","Predicted_PM25_real",34.632057,"PM25","N","N-BD-pre","19.17","1143.27"
"20",139,"N-BD","spring","3.post-predicted","Predicted_PM25_real",35.712006,"PM25","N","N-BD-pre","19.17","1143.27"
"21",140,"N-BD","spring","3.post-predicted","Predicted_PM25_real",38.016003,"PM25","N","N-BD-pre","19.17","1143.27"
"22",141,"N-BD","spring","3.post-predicted","Predicted_PM25_real",38.620693,"PM25","N","N-BD-pre","19.17","1143.27"
"23",142,"N-BD","spring","3.post-predicted","Predicted_PM25_real",40.600143,"PM25","N","N-BD-pre","19.17","1143.27"
"24",143,"N-BD","spring","3.post-predicted","Predicted_PM25_real",38.697758,"PM25","N","N-BD-pre","19.17","1143.27"
