"","city","status","species","region","city_new","pop_1","M_all"
"1","C-CS","3.post-observed","PM25","C","C-CS-obs",285698.879999998,2.9651208317266
"2","C-CS","3.post-predicted","PM25","C","C-CS-pre",285698.879999998,2.98146778423892
"3","C-NY","3.post-observed","PM25","C","C-NY-obs",383667.449999999,3.22637115724541
"4","C-NY","3.post-predicted","PM25","C","C-NY-pre",383667.449999999,3.39902202844628
"5","C-WH","3.post-observed","PM25","C","C-WH-obs",290048,3.02350322663123
"6","C-WH","3.post-predicted","PM25","C","C-WH-pre",290048,3.29140771247297
"7","C-ZZ","3.post-observed","PM25","C","C-ZZ-obs",349995.199999999,2.99577457754311
"8","C-ZZ","3.post-predicted","PM25","C","C-ZZ-pre",349995.199999999,3.13937903636137
"9","E-HF","3.post-observed","PM25","E","E-HF-obs",305864.680000001,1.87311928886851
"10","E-HF","3.post-predicted","PM25","E","E-HF-pre",305864.680000001,2.12926992202731
"11","E-JN","3.post-observed","PM25","E","E-JN-obs",325866.659999998,3.49209156289176
"12","E-JN","3.post-predicted","PM25","E","E-JN-pre",325866.659999998,3.55751266680961
"13","E-NJ","3.post-observed","PM25","E","E-NJ-obs",275410.160000002,2.13635455429205
"14","E-NJ","3.post-predicted","PM25","E","E-NJ-pre",275410.160000002,2.61094506301654
"15","E-QD","3.post-observed","PM25","E","E-QD-obs",321882.959999998,2.67979114878849
"16","E-QD","3.post-predicted","PM25","E","E-QD-pre",321882.959999998,2.81522359748923
"17","E-SH","3.post-observed","PM25","E","E-SH-obs",578904.199999999,1.52357063069254
"18","E-SH","3.post-predicted","PM25","E","E-SH-pre",578904.199999999,1.91995681035774
"19","E-SZ","3.post-observed","PM25","E","E-SZ-obs",278249.440000002,4.29751658029579
"20","E-SZ","3.post-predicted","PM25","E","E-SZ-pre",278249.440000002,4.8439143973953
"21","E-WF","3.post-observed","PM25","E","E-WF-obs",322679.699999998,3.93898874028339
"22","E-WF","3.post-predicted","PM25","E","E-WF-pre",322679.699999998,4.14197658545693
"23","E-WX","3.post-observed","PM25","E","E-WX-obs",288783.27,2.16610339242059
"24","E-WX","3.post-predicted","PM25","E","E-WX-pre",288783.27,2.41148780400556
"25","N-BD","3.post-observed","PM25","N","N-BD-obs",411577.200000001,2.66369733193528
"26","N-BD","3.post-predicted","PM25","N","N-BD-pre",411577.200000001,3.15611490409861
"27","N-BJ","3.post-observed","PM25","N","N-BJ-obs",486295.200000003,2.04589084111131
"28","N-BJ","3.post-predicted","PM25","N","N-BJ-pre",486295.200000003,2.19633593927734
